smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=C(CN1C(=O)CCC1=O)NC[C@@H]1CCS(=O)(=O)C1	ZINC000042383818	MGZNXEBAZDQDRG-QMMMGPOBSA-N	288.325	-1.314	0	50	CAAA	
O=C(CN1C(=O)CCC1=O)NC[C@H]1CCS(=O)(=O)C1	ZINC000042383821	MGZNXEBAZDQDRG-MRVPVSSYSA-N	288.325	-1.314	0	50	CAAA	
COC(=O)N1CCN(CCNC(=O)c2cn(C)nn2)CC1	ZINC000042384510	LOIQNGPMAIXHAC-UHFFFAOYSA-N	296.331	-1.071	0	50	CAAA	
O=C(c1[nH]nc2c1CNCC2)N1CCN(CCO)CC1	ZINC000042783811	QONPKWMJQWINJF-UHFFFAOYSA-N	279.344	-1.195	0	50	CAAA	
Nc1nc(F)nc2c1N=C[C@H]2[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O	ZINC000043721103	XLHJVXUJXTWALD-YRGOSSLOSA-N	284.247	-1.521	0	50	CAAA	
CN(C)CCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000043760820	XMSCDECDRDOLBN-CIQUZCHMSA-N	251.279	-2.636	0	50	CAAA	
CCOC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@H]1O	ZINC000043760879	DHPQQSJQCFYLFI-IMFYSGRJSA-N	251.235	-2.468	0	50	CAAA	
O=S(=O)(O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O	ZINC000043763830	PRDZVHCOEWJPOB-VFUOTHLCSA-N	259.236	-3.821	0	50	CAAA	
O=S(=O)(O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O	ZINC000043763831	PRDZVHCOEWJPOB-DVKNGEFBSA-N	259.236	-3.821	0	50	CAAA	
C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1NC(=O)CC(C)(C)O	ZINC000043763892	UUVASJJCLBEXCO-SVFDORGDSA-N	263.290	-1.909	0	50	CAAA	
C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1NC(=O)CC(C)(C)O	ZINC000043763893	UUVASJJCLBEXCO-HOQQJHGQSA-N	263.290	-1.909	0	50	CAAA	
N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1OS(=O)(=O)O	ZINC000043763932	UZUBNIPDAIVWIE-QZABAPFNSA-N	259.236	-3.428	0	50	CAAA	
CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(C)c(N)nc1=O	ZINC000043771799	CNVRVGAACYEOQI-FDDDBJFASA-N	271.273	-1.600	0	50	CAAA	
CNC(=O)C(=O)NCC1CCN(S(C)(=O)=O)CC1	ZINC000043941600	CDBYEVPPEALCMB-UHFFFAOYSA-N	277.346	-1.480	0	50	CAAA	
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1CO	ZINC000044062832	NFEXJLMYXXIWPI-JXOAFFINSA-N	273.245	-3.071	0	50	CAAA	
COc1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1	ZINC000044069099	SIXFVXJMCGPTRB-BNDIWNMDSA-N	286.280	-1.126	0	50	CAAA	
O=S(=O)(CCO)CC(O)CS(=O)(=O)CCO	ZINC000044069185	CVFXDAXIZHJZAH-UHFFFAOYSA-N	276.332	-2.839	0	50	CAAA	
CCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O	ZINC000044076128	FNSCSLWWUFMYHX-QVDPWDGTSA-N	263.290	-1.907	0	50	CAAA	
CCCCC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000044076131	FNSCSLWWUFMYHX-NENRSDFPSA-N	263.290	-1.907	0	50	CAAA	
CC(=O)N[C@H]1[C@H](O)O[C@@H]2COC(C)(C)O[C@H]2[C@@H]1O	ZINC000044127258	KHSNVBRWHNOPEI-VVULQXIFSA-N	261.274	-1.279	0	50	CAAA	in-vitro
CC(=O)Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	ZINC000044166729	RWYFZABPLDFELM-QXFUBDJGSA-N	269.257	-1.158	0	50	CAAA	
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2N)c(N)n1	ZINC000044168239	DIFJLWYUVQLAHS-DXTOWSMRSA-N	281.276	-2.431	0	50	CAAA	
Nc1nc2c(ncn2[C@H]2C[C@H](N)[C@@H](CO)O2)c(N)n1	ZINC000044168243	RXUVXJPZMYYFEO-KVQBGUIXSA-N	265.277	-1.402	0	50	CAAA	
CO[C@H]1[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO	ZINC000044169895	YKNATSNMFLEFRB-ZOQUXTDFSA-N	258.230	-2.198	0	50	CAAA	
CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2F)c(=O)n1	ZINC000044171275	NLXVKEFNBVLDLD-PEBGCTIMSA-N	287.247	-1.210	0	50	CAAA	
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c1N	ZINC000044184441	RTRQQBHATOEIAF-GFRUICAKSA-N	258.234	-2.824	0	50	CAAA	in-vitro
CCS(=O)(=O)NCCN1CCN(S(C)(=O)=O)CC1	ZINC000044226544	NZWFWYLJNPNGPW-UHFFFAOYSA-N	299.418	-1.497	0	50	CAAA	
Nc1ncc2ncn([C@@H]3O[C@H](CO)[C@H](O)[C@H]3O)c2n1	ZINC000044608135	JVOJULURLCZUDE-JVZYCSMKSA-N	267.245	-1.980	0	50	CAAA	in-vitro
Nc1ncc2ncn([C@@H]3O[C@H](CO)[C@H](O)[C@@H]3O)c2n1	ZINC000044608136	JVOJULURLCZUDE-UTSKPXGSSA-N	267.245	-1.980	0	50	CAAA	in-vitro
CO[C@H]1[C@H](O)O[C@H](C)[C@H](NC(=O)CC(C)(C)O)[C@@H]1O	ZINC000044608242	XXOSQKWOPXPGQY-JZFGAJAUSA-N	277.317	-1.255	0	50	CAAA	
CO[C@H]1[C@H](O)O[C@@H](C)[C@H](NC(=O)CC(C)(C)O)[C@@H]1O	ZINC000044608243	XXOSQKWOPXPGQY-FLRBJKBBSA-N	277.317	-1.255	0	50	CAAA	
O=P(O)(O)OC[C@@H]1S[C@H](O)[C@H](O)[C@@H](O)[C@H]1O	ZINC000044608494	NEOSARGPNYBRLE-XKTQNOIPSA-N	276.203	-2.388	0	50	CAAA	
OCC(CO)N[C@@H]1C[C@](O)(CO)[C@H](O)[C@H](O)[C@H]1O	ZINC000044608552	FZNCGRZWXLXZSZ-ZOZBQHSOSA-N	267.278	-4.492	0	50	CAAA	
Nc1nc2c(nc(N)[nH]c2=O)n1[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O	ZINC000044699068	FNXPTCITVCRFRK-SAFLGMAISA-N	298.259	-3.105	0	50	CAAA	
N[C@H]1[C@H](OCc2ccccc2)O[C@@H](CO)[C@H](O)[C@H]1O	ZINC000044699326	ZLTAXQWRKKWROR-FPYNETTCSA-N	269.297	-1.031	0	50	CAAA	
O=C(Cc1noc(C(=O)NCCCO)n1)N1CCOCC1	ZINC000044889875	GTGDQCLBVHVBSK-UHFFFAOYSA-N	298.299	-1.417	0	50	CAAA	
O=C(NCCNCCO)C(=O)Nc1n[nH]c2ncccc12	ZINC000044891883	NKHCBINRYAZELS-UHFFFAOYSA-N	292.299	-1.406	0	50	CAAA	
Cn1nnc(-c2ccc(NC(=O)C(=O)NCCO)cc2)n1	ZINC000044901289	BOGWFJQNSCLSLH-UHFFFAOYSA-N	290.283	-1.076	0	50	CAAA	
C[C@H](O)CNC(=O)c1nc(CC(=O)N2CCOCC2)no1	ZINC000044901527	IMVKHZVEGPVRSW-QMMMGPOBSA-N	298.299	-1.419	0	50	CAAA	
O=C(NCCOCCO)C(=O)Nc1c[nH]ccc1=O	ZINC000044901628	DDVQEZBSDFBDOU-UHFFFAOYSA-N	269.257	-1.562	0	50	CAAA	
O=C(Cc1noc(C(=O)NCCO)n1)N1CCOCC1	ZINC000044903024	NPRBVWPTUYPLMH-UHFFFAOYSA-N	284.272	-1.807	0	50	CAAA	
O=C(NCCNCCO)C(=O)Nc1c[nH]ccc1=O	ZINC000044903029	JSXYADGMPSWFTL-UHFFFAOYSA-N	268.273	-1.989	0	50	CAAA	
CN1CCN(Cc2c(=O)[nH]c(=O)[nH]c2C(=O)O)CC1	ZINC000044903981	WSFYFWFKIDWILT-UHFFFAOYSA-N	268.273	-1.491	0	50	CAAA	
COCCNC(=O)c1nc(CC(=O)N2CCOCC2)no1	ZINC000044917014	WDFNLMQJKLWJJI-UHFFFAOYSA-N	298.299	-1.153	0	50	CAAA	
CN(C)CCNC(=O)C(=O)Nc1c[nH]ccc1=O	ZINC000044920745	OJDPEHNLCNPZQS-UHFFFAOYSA-N	252.274	-1.009	0	50	CAAA	
C[C@H]1O[C@H](NC(=O)CCCCCN)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000044960142	OCYKRQKYASNHPN-URYVQPGZSA-N	276.333	-1.551	0	50	CAAA	in-vitro
C[C@@H]1O[C@H](NC(=O)CCCCCN)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000044960143	OCYKRQKYASNHPN-GBLDHOQUSA-N	276.333	-1.551	0	50	CAAA	in-vitro
NCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O	ZINC000044960144	FJNVLTLMGXYGGP-GQCVWLSPSA-N	292.332	-2.578	0	50	CAAA	in-vitro
N[C@H]1[C@H](O)[C@@H](CO)O[C@H](OCc2ccccc2)[C@H]1O	ZINC000044962910	QXJRFJWFMMVPGX-FHUSYTEZSA-N	269.297	-1.031	0	50	CAAA	in-vitro
